feature,psi,status
CNT_FAM_MEMBERS,0.44,Critical
CODE_GENDER,0.378,Critical
FLAG_OWN_REALTY,0.3456,Critical
FLAG_OWN_CAR,0.3449,Critical
NAME_CONTRACT_TYPE,0.3139,Critical
NAME_FAMILY_STATUS,0.1978,Warning
SK_ID_CURR,0.0827,Stable
FLOORSMAX_MEDI,0.0327,Stable
EXT_SOURCE_3,0.0285,Stable
EXT_SOURCE_MEAN,0.0282,Stable
CREDIT_TO_GOODS,0.0277,Stable
INCOME_PER_PERSON,0.0252,Stable
EXT_SOURCE_WEIGHTED,0.0247,Stable
FLOORSMAX_AVG,0.0243,Stable
EXT_SOURCE_MIN,0.0237,Stable
AMT_GOODS_PRICE,0.0197,Stable
AMT_INCOME_TOTAL,0.019,Stable
AGE_YEARS,0.0181,Stable
DAYS_BIRTH,0.018,Stable
DEBT_TO_INCOME,0.0162,Stable
EXT_SOURCE_2,0.0156,Stable
REGION_RATING_CLIENT_W_CITY,0.0146,Stable
AMT_CREDIT,0.0144,Stable
YEARS_BEGINEXPLUATATION_MODE,0.0137,Stable
LIVE_CITY_NOT_WORK_CITY,0.0134,Stable
YEARS_BEGINEXPLUATATION_AVG,0.0119,Stable
REGION_POPULATION_RELATIVE,0.0118,Stable
YEARS_BEGINEXPLUATATION_MEDI,0.0111,Stable
CNT_CHILDREN,0.011,Stable
HOUR_APPR_PROCESS_START,0.0106,Stable
DAYS_LAST_PHONE_CHANGE,0.0103,Stable
ANNUITY_x_CREDIT,0.0098,Stable
EXT_MEAN_x_DEBT_INCOME,0.0098,Stable
EMPLOYMENT_TO_AGE_RATIO,0.0096,Stable
DAYS_REGISTRATION,0.0091,Stable
EXT_SOURCE_STD,0.0088,Stable
ANNUITY_TO_INCOME,0.0087,Stable
DAYS_EMPLOYED,0.0073,Stable
DAYS_ID_PUBLISH,0.0067,Stable
EMPLOYMENT_YEARS,0.0067,Stable
FLOORSMAX_MODE,0.0065,Stable
DEF_30_CNT_SOCIAL_CIRCLE,0.0062,Stable
TOTALAREA_MODE,0.0058,Stable
AMT_ANNUITY,0.0058,Stable
WEEKDAY_APPR_PROCESS_START_TUESDAY,0.0052,Stable
AMT_REQ_CREDIT_BUREAU_YEAR,0.0043,Stable
AMT_REQ_CREDIT_BUREAU_QRT,0.0026,Stable
OBS_60_CNT_SOCIAL_CIRCLE,0.0019,Stable
REGION_RATING_CLIENT,0.0011,Stable
OBS_30_CNT_SOCIAL_CIRCLE,0.0009,Stable
WEEKDAY_APPR_PROCESS_START_SATURDAY,0.0008,Stable
AMT_REQ_CREDIT_BUREAU_MON,0.0008,Stable
DOCUMENT_COUNT,0.0007,Stable
NAME_EDUCATION_TYPE,0.0006,Stable
OCCUPATION_TYPE_Laborers,0.0003,Stable
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,0.0003,Stable
FLAG_WORK_PHONE,0.0001,Stable
FLAG_DOCUMENT_6,0.0,Stable
FLAG_DOCUMENT_7,0.0,Stable
FLAG_DOCUMENT_8,0.0,Stable
FLAG_DOCUMENT_3,0.0,Stable
FLAG_DOCUMENT_2,0.0,Stable
DEF_60_CNT_SOCIAL_CIRCLE,0.0,Stable
EMERGENCYSTATE_MODE,0.0,Stable
LIVE_REGION_NOT_WORK_REGION,0.0,Stable
REG_REGION_NOT_WORK_REGION,0.0,Stable
REG_REGION_NOT_LIVE_REGION,0.0,Stable
REG_CITY_NOT_LIVE_CITY,0.0,Stable
REG_CITY_NOT_WORK_CITY,0.0,Stable
FLAG_PHONE,0.0,Stable
FLAG_EMAIL,0.0,Stable
FLAG_EMP_PHONE,0.0,Stable
FLAG_CONT_MOBILE,0.0,Stable
FLAG_MOBIL,0.0,Stable
FLAG_DOCUMENT_5,0.0,Stable
FLAG_DOCUMENT_4,0.0,Stable
FLAG_DOCUMENT_20,0.0,Stable
AMT_REQ_CREDIT_BUREAU_WEEK,0.0,Stable
AMT_REQ_CREDIT_BUREAU_DAY,0.0,Stable
FLAG_DOCUMENT_16,0.0,Stable
FLAG_DOCUMENT_15,0.0,Stable
FLAG_DOCUMENT_14,0.0,Stable
FLAG_DOCUMENT_13,0.0,Stable
FLAG_DOCUMENT_12,0.0,Stable
FLAG_DOCUMENT_19,0.0,Stable
AMT_REQ_CREDIT_BUREAU_HOUR,0.0,Stable
FLAG_DOCUMENT_21,0.0,Stable
FLAG_DOCUMENT_9,0.0,Stable
FLAG_DOCUMENT_10,0.0,Stable
NAME_TYPE_SUITE_Group of people,0.0,Stable
NAME_TYPE_SUITE_Family,0.0,Stable
NAME_TYPE_SUITE_Other_B,0.0,Stable
"NAME_TYPE_SUITE_Spouse, partner",0.0,Stable
NAME_TYPE_SUITE_Unaccompanied,0.0,Stable
NAME_TYPE_SUITE_Other_A,0.0,Stable
NAME_INCOME_TYPE_Pensioner,0.0,Stable
NAME_INCOME_TYPE_State servant,0.0,Stable
NAME_INCOME_TYPE_Student,0.0,Stable
NAME_INCOME_TYPE_Working,0.0,Stable
NAME_HOUSING_TYPE_House / apartment,0.0,Stable
NAME_HOUSING_TYPE_Municipal apartment,0.0,Stable
NAME_HOUSING_TYPE_Office apartment,0.0,Stable
NAME_INCOME_TYPE_Maternity leave,0.0,Stable
NAME_HOUSING_TYPE_Rented apartment,0.0,Stable
NAME_HOUSING_TYPE_With parents,0.0,Stable
