sensitive_feature,group,n_samples,approval_rate,default_rate_approved,TPR,FPR,AUC
Gender,M,335,0.997,0.0838,0.0345,0.0,0.6866
Gender,F,665,0.9955,0.077,0.0377,0.0016,0.6652
Education Type,Higher education,222,1.0,0.0901,0.0,0.0,0.647
Education Type,Lower secondary,6,1.0,0.0,0.0,0.0,
Education Type,Incomplete higher,44,1.0,0.1818,0.0,0.0,0.5104
Education Type,Academic degree,1,1.0,0.0,0.0,0.0,
Education Type,Secondary / secondary special,727,0.9945,0.0705,0.0556,0.0015,0.6958
Age Group,<30,162,1.0,0.1111,0.0,0.0,0.6917
Age Group,60+,122,1.0,0.0738,0.0,0.0,0.5285
Age Group,45-60,305,0.9967,0.0625,0.0,0.0035,0.5992
Age Group,30-45,411,0.9927,0.0809,0.0833,0.0,0.7465
